Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
13,51,5,Ruth,PATTERSON,475,21,502,,,Independent
13,52,5,Ian,SHANKS,430,6,444,,,Progressive Unionist Party
13,53,5,Christopher,STALFORD,3570,32,3615,,,Democratic Unionist Party
13,54,5,Bob,STOKER,794,28,832,,,UK Independence Party
13,37,6,Brigitte,ANTON,246,0,0,Excluded,3,NI Labour Representation Committee
13,38,6,Clare,BAILEY,3521,13,3691,,,Green Party
13,39,6,Paula,BRADSHAW,3332,7,3425,,,Alliance Party
13,40,6,Sean,BURNS,871,11,985,,,Labour Alternative
13,41,6,William,DICKSON,351,0,0,,,South Belfast Unionists
13,42,6,Claire,HANNA,4516,1,4582,,,Social Democratic and Labour Party
13,43,6,John Andrew,HIDDLESTON,495,32,590,,,Traditional Unionist Voice
13,44,6,Lily,KERR,241,0,0,Excluded,2,Workers Party
13,45,6,Emma,LITTLE PENGELLY,4511,49,4644,,,Democratic Unionist Party
13,46,6,Ben,MANTON,161,0,0,Excluded,1,NI Conservatives
13,47,6,Rodney James,MCCUNE,2466,62,2677,,,Ulster Unionist Party
13,48,6,Fearghal,MCKINNEY,2845,1,2878,,,Social Democratic and Labour Party
13,49,6,Duncan,MORROW,2691,3,2736,,,Alliance Party
13,50,6,Mairtin,O MUILLEOIR,5207,0,5247,Elected,5,Sinn Fein
13,51,6,Ruth,PATTERSON,475,69,571,,,Independent
13,52,6,Ian,SHANKS,430,-444,0,Excluded,6,Progressive Unionist Party
13,53,6,Christopher,STALFORD,3570,102,3717,,,Democratic Unionist Party
13,54,6,Bob,STOKER,794,76,908,,,UK Independence Party
