Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
3488,Elected,7,BRADLEY,Paula,10,Democratic Unionist Party,1
3724,Elected,7,HUMPHREY,William,10,Democratic Unionist Party,3
6674,Elected,1,KELLY,Gerry,10,Sinn Fein,4
4025,Elected,6,MAGINNESS,Alban,10,Social Democratic and Labour Party,7
5200,Elected,1,MCCAUSLAND,Nelson,10,Democratic Unionist Party,8
2999,Elected,7,NI CUILIN,Caral,10,Sinn Fein,10
