Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
6950,Elected,1,ANDERSON,Martina,5,Sinn Fein,114
4970,Elected,4,DURKAN,Mark H,5,Social Democratic and Labour Party,117
2967,Elected,7,EASTWOOD,Colum,5,Social Democratic and Labour Party,118
7154,Elected,1,HAY,William,5,Democratic Unionist Party,120
3638,Elected,7,MCCARTNEY,Raymond,5,Sinn Fein,122
3138,Elected,7,RAMSEY,Pat,5,Social Democratic and Labour Party,125
