Constituency_Number,Count_Number,Non_Transferable
2,2,75.5
2,3,38.34
2,4,30.59
2,5,25.5
2,6,61.68
2,7,128.36
2,8,251.71
2,9,929.03
2,10,148.33
2,11,668.01
