Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
6896,Elected,1,ELLIOTT,Tom,4,Ulster Unionist Party,95
5082,Elected,6,FLANAGAN,Phil,4,Sinn Fein,96
6876,Elected,1,FOSTER,Arlene,4,Democratic Unionist Party,97
9110,Elected,1,GILDERNEW,Michelle,4,Sinn Fein,99
5146,Elected,6,LYNCH,Sean,4,Sinn Fein,100
4844,Elected,5,MORROW,Maurice,4,Democratic Unionist Party,101
