Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
6319,Elected,1,CAMPBELL,Gregory,3,Democratic Unionist Party,71
2967,Elected,6,DALLAT,John,3,Social Democratic and Labour Party,73
3003,Elected,7,MCCLARTY,David,3,Independent,78
2633,Elected,7,MCQUILLAN,Adrian,3,Democratic Unionist Party,79
4681,Elected,6,O HOISIN,Cathal,3,Sinn Fein,80
3855,Elected,7,ROBINSON,George,3,Democratic Unionist Party,81
