Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
5053,Elected,4,BOYLE,Michaela,18,Sinn Fein,103
5027,Elected,5,BUCHANAN,Thomas,18,Democratic Unionist Party,105
3353,Elected,5,BYRNE,Joe,18,Social Democratic and Labour Party,107
5630,Elected,1,DOHERTY,Pat,18,Sinn Fein,108
4072,Elected,5,HUSSEY,Ross,18,Ulster Unionist Party,109
6008,Elected,1,MCELDUFF,Barry,18,Sinn Fein,111
