Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
1,70,6,David,HILDITCH,5906,0,4631,Elected,1,Democratic Unionist Party
1,71,6,Noel,JORDAN,2207,50.21,2502.31,,,UK Independence Party
1,72,6,Gordon,LYONS,3472,12.63,4500.96,,,Democratic Unionist Party
1,73,6,Jim,MCCAW,455,0,0,Excluded,2,Progressive Unionist Party
1,74,6,Margaret Anne,MCKILLOP,1229,75,1380.26,Excluded,6,Social Democratic and Labour Party
1,75,6,Oliver,MCMULLAN,2633,30,2721.42,,,Sinn Fein
1,76,6,Maureen,MORROW,719,0,0,Excluded,4,Ulster Unionist Party
1,77,6,Dawn,PATTERSON,693,-886.68,0,Excluded,5,Green Party
1,78,6,Alastair,ROSS,2323,12.21,2592.39,,,Democratic Unionist Party
1,79,6,Conor John,SHERIDAN,551,0,0,Excluded,3,Cross-Community Labour Alternative
1,80,6,John Robert,STEWART,1985,38,2307.45,,,Ulster Unionist Party
1,81,6,Ruth,WILSON,1643,16,1787.59,,,Traditional Unionist Voice
1,67,7,Roy,BEGGS,3848,15.21,4342.67,,,Ulster Unionist Party
1,68,7,Stewart Clyde,DICKSON,3115,241.42,3745.97,,,Alliance Party
1,69,7,Danny,DONNELLY,1632,311,2220.31,,,Alliance Party
1,70,7,David,HILDITCH,5906,0,4631,Elected,1,Democratic Unionist Party
1,71,7,Noel,JORDAN,2207,19,2521.31,,,UK Independence Party
1,72,7,Gordon,LYONS,3472,11.21,4512.17,,,Democratic Unionist Party
1,73,7,Jim,MCCAW,455,0,0,Excluded,2,Progressive Unionist Party
1,74,7,Margaret Anne,MCKILLOP,1229,-1380.26,0,Excluded,6,Social Democratic and Labour Party
1,75,7,Oliver,MCMULLAN,2633,559,3280.42,,,Sinn Fein
1,76,7,Maureen,MORROW,719,0,0,Excluded,4,Ulster Unionist Party
1,77,7,Dawn,PATTERSON,693,0,0,Excluded,5,Green Party
1,78,7,Alastair,ROSS,2323,15,2607.39,,,Democratic Unionist Party
1,79,7,Conor John,SHERIDAN,551,0,0,Excluded,3,Cross-Community Labour Alternative
1,80,7,John Robert,STEWART,1985,14,2321.45,,,Ulster Unionist Party
1,81,7,Ruth,WILSON,1643,8,1795.59,Excluded,7,Traditional Unionist Voice
1,67,8,Roy,BEGGS,3848,365,4707.67,Elected,8,Ulster Unionist Party
1,68,8,Stewart Clyde,DICKSON,3115,32.21,3778.18,,,Alliance Party
1,69,8,Danny,DONNELLY,1632,21,2241.31,,,Alliance Party
1,70,8,David,HILDITCH,5906,0,4631,Elected,1,Democratic Unionist Party
1,71,8,Noel,JORDAN,2207,408.31,2929.62,,,UK Independence Party
1,72,8,Gordon,LYONS,3472,345,4857.17,Elected,8,Democratic Unionist Party
1,73,8,Jim,MCCAW,455,0,0,Excluded,2,Progressive Unionist Party
1,74,8,Margaret Anne,MCKILLOP,1229,0,0,Excluded,6,Social Democratic and Labour Party
1,75,8,Oliver,MCMULLAN,2633,2,3282.42,,,Sinn Fein
1,76,8,Maureen,MORROW,719,0,0,Excluded,4,Ulster Unionist Party
1,77,8,Dawn,PATTERSON,693,0,0,Excluded,5,Green Party
1,78,8,Alastair,ROSS,2323,275.98,2883.37,,,Democratic Unionist Party
1,79,8,Conor John,SHERIDAN,551,0,0,Excluded,3,Cross-Community Labour Alternative
1,80,8,John Robert,STEWART,1985,213.1,2534.55,,,Ulster Unionist Party
1,81,8,Ruth,WILSON,1643,-1795.59,0,Excluded,7,Traditional Unionist Voice
1,67,9,Roy,BEGGS,3848,0,4707.67,Elected,8,Ulster Unionist Party
1,68,9,Stewart Clyde,DICKSON,3115,2.37,3780.55,,,Alliance Party
1,69,9,Danny,DONNELLY,1632,0.79,2242.1,Excluded,9,Alliance Party
1,70,9,David,HILDITCH,5906,0,4631,Elected,1,Democratic Unionist Party
1,71,9,Noel,JORDAN,2207,23.7,2953.32,,,UK Independence Party
1,72,9,Gordon,LYONS,3472,-226.17,4631,Elected,8,Democratic Unionist Party
1,73,9,Jim,MCCAW,455,0,0,Excluded,2,Progressive Unionist Party
1,74,9,Margaret Anne,MCKILLOP,1229,0,0,Excluded,6,Social Democratic and Labour Party
1,75,9,Oliver,MCMULLAN,2633,0,3282.42,,,Sinn Fein
1,76,9,Maureen,MORROW,719,0,0,Excluded,4,Ulster Unionist Party
1,77,9,Dawn,PATTERSON,693,0,0,Excluded,5,Green Party
1,78,9,Alastair,ROSS,2323,188.02,3071.39,,,Democratic Unionist Party
