Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
7127,Elected,1,MCCREA,Ian,7,Democratic Unionist Party,141
5065,Elected,5,MCGLONE,Patsy,7,Social Democratic and Labour Party,143
8957,Elected,1,MCGUINNESS,Martin,7,Sinn Fein,144
4263,Elected,7,MOLLOY,Francie,7,Sinn Fein,147
5178,Elected,7,ONEILL,Michelle,7,Sinn Fein,148
4409,Elected,6,OVEREND,Sandra,7,Ulster Unionist Party,149
