Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
18,273,5,Daniel,MCCROSSAN,4287,48,4482,,,Social Democratic and Labour Party
18,274,5,Grace,MCDERMOTT,3711,23,3750,,,Sinn Fein
18,275,5,Barry,MCELDUFF,4568,74,4671,,,Sinn Fein
18,276,5,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,6,Michaela,BOYLE,4460,25,4599,,,Sinn Fein
18,260,6,Allan,BRESLAND,3884,5,3924,,,Democratic Unionist Party
18,261,6,Barry,BROWN,547,0,0,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,6,Thomas,BUCHANAN,4650,10,4709,,,Democratic Unionist Party
18,263,6,Josephine Anne,DEENAN,1778,122,2066,,,Independent
18,264,6,Stephen,DONNELLY,494,0,0,Excluded,3,Alliance Party
18,265,6,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,6,Ross,HUSSEY,4441,67,4663,,,Ulster Unionist Party
18,267,6,Patsy,KELLY,661,21,763,Excluded,6,Independent
18,268,6,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,6,Declan,MCALEER,3565,25,3644,,,Sinn Fein
18,270,6,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,6,Sorcha,MCANESPY,828,71,1003,Excluded,6,Independent
18,272,6,Ciaran,MCCLEAN,458,-714,0,Excluded,5,Green Party
18,273,6,Daniel,MCCROSSAN,4287,118,4600,,,Social Democratic and Labour Party
18,274,6,Grace,MCDERMOTT,3711,24,3774,,,Sinn Fein
18,275,6,Barry,MCELDUFF,4568,44,4715,,,Sinn Fein
18,276,6,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,7,Michaela,BOYLE,4460,207,4806,,,Sinn Fein
18,260,7,Allan,BRESLAND,3884,17,3941,,,Democratic Unionist Party
18,261,7,Barry,BROWN,547,0,0,Excluded,4,Cannabis Is Safer Than Alcohol
18,262,7,Thomas,BUCHANAN,4650,19,4728,,,Democratic Unionist Party
18,263,7,Josephine Anne,DEENAN,1778,541,2607,Excluded,7,Independent
18,264,7,Stephen,DONNELLY,494,0,0,Excluded,3,Alliance Party
18,265,7,Corey,FRENCH,124,0,0,Excluded,2,Independent
18,266,7,Ross,HUSSEY,4441,42,4705,,,Ulster Unionist Party
18,267,7,Patsy,KELLY,661,-763,0,Excluded,6,Independent
18,268,7,Roger,LOMAS,44,0,0,Excluded,1,NI Conservatives
18,269,7,Declan,MCALEER,3565,131,3775,,,Sinn Fein
18,270,7,Laura,MCANEA,224,0,0,Excluded,2,Animal Welfare Party
18,271,7,Sorcha,MCANESPY,828,-1003,0,Excluded,6,Independent
18,272,7,Ciaran,MCCLEAN,458,0,0,Excluded,5,Green Party
18,273,7,Daniel,MCCROSSAN,4287,280,4880,,,Social Democratic and Labour Party
18,274,7,Grace,MCDERMOTT,3711,91,3865,,,Sinn Fein
18,275,7,Barry,MCELDUFF,4568,201,4916,,,Sinn Fein
18,276,7,Susan-Anne,WHITE,85,0,0,Excluded,2,Independent
18,259,8,Michaela,BOYLE,4460,147,4953,,,Sinn Fein
18,260,8,Allan,BRESLAND,3884,11,3952,Excluded,8,Democratic Unionist Party
18,261,8,Barry,BROWN,547,0,0,Excluded,4,Cannabis Is Safer Than Alcohol
