Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
4329,Elected,7,COCHRANE,Judith,2,Alliance Party,41
2194,Elected,11,COPELAND,Michael,2,Ulster Unionist Party,43
2668,Elected,11,DOUGLAS,Sammy,2,Democratic Unionist Party,44
4183,Elected,11,LYTTLE,Chris,2,Alliance Party,47
2436,Elected,2,NEWTON,Robin,2,Democratic Unionist Party,49
9149,Elected,1,ROBINSON,Peter,2,Democratic Unionist Party,52
