Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
4061,Elected,9,ALLISTER,Jim,9,Traditional Unionist Voice,161
6581,Elected,1,FREW,Paul,9,Democratic Unionist Party,163
3275,Elected,8,MCILVEEN,David,9,Democratic Unionist Party,165
6152,Elected,1,MCKAY,Daithi,9,Sinn Fein,166
6083,Elected,1,STOREY,Mervyn,9,Democratic Unionist Party,170
2518,Elected,9,SWANN,Robin,9,Ulster Unionist Party,171
