Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
3882,Elected,7,CLARKE ,Willie,14,Sinn Fein,186
4409,Elected,6,MCCALLISTER ,John,14,Ulster Unionist Party,189
3758,Elected,9,MCKEVITT ,Karen,14,Social Democratic and Labour Party,190
8506,Elected,1,RITCHIE ,Margaret,14,Social Democratic and Labour Party,193
5955,Elected,2,RUANE ,Caitriona,14,Sinn Fein,194
5200,Elected,5,WELLS ,Jim,14,Democratic Unionist Party,195
