Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
2207,Elected,11,AGNEW,Steven,11,Green Party,172
1585,Elected,10,CREE,Leslie,11,Ulster Unionist Party,175
3741,Elected,2,DUNNE,Gordon,11,Democratic Unionist Party,176
5175,Elected,1,EASTON,Alex,11,Democratic Unionist Party,177
3131,Elected,11,FARRY,Stephen,11,Alliance Party,178
3496,Elected,2,WEIR,Peter,11,Democratic Unionist Party,183
