Constituency_Number,Count_Number,Non_Transferable
11,2,13.45
11,3,24.23
11,4,171.37
11,5,82.61
11,6,106.83
11,7,2.12
11,8,442.24
11,9,0.96
11,10,749.88
11,11,7.02
