Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
4263,Elected,5,CRAIG,Jonathan,6,Democratic Unionist Party,127
4352,Elected,7,GIVAN,Paul,6,Democratic Unionist Party,128
2910,Elected,7,HALE,Brenda,6,Democratic Unionist Party,129
4389,Elected,6,LUNN,Trevor,6,Alliance Party,131
5771,Elected,1,MCCREA,Basil,6,Ulster Unionist Party,132
7329,Elected,1,POOTS,Edwin,6,Democratic Unionist Party,133
