Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
3765,Elected,10,ATTWOOD,Alex,17,Social Democratic and Labour Party,26
5343,Elected,1,MASKEY,Paul,17,Sinn Fein,33
4481,Elected,10,MCCANN,Fra,17,Sinn Fein,34
5239,Elected,1,MCCANN,Jennifer,17,Sinn Fein,35
4116,Elected,11,RAMSEY,Sue,17,Sinn Fein,38
3723,Elected,11,SHEEHAN,Pat,17,Sinn Fein,39
