Constituency_Number,Count_Number,Non_Transferable
17,2,25.64
17,3,30.35
17,4,28.14
17,5,44.68
17,6,89.05
17,7,224.59
17,8,148.67
17,9,202.12
17,10,832.53
17,11,0.76
