Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Candidate_First_Pref_Votes,Status,Occurred_On_Count,Gender,Twitter
Belfast West,17,59,Gareth Thomas,MARTIN,0,26,Ulster Unionist Party,654,Excluded,2,M,
Belfast West,17,60,Alex,MASKEY,1,24,Sinn Fein,4769,Elected,2,M,@AlexMaskeyMLA
Belfast West,17,61,Fra,MCCANN,1,24,Sinn Fein,4028,Elected,5,M,@FramccannMLA
Belfast West,17,62,Jennifer,MCCANN,1,24,Sinn Fein,4386,Elected,6,F,@jennifermccann0
Belfast West,17,63,Rosie,MCCORLEY,1,24,Sinn Fein,3053,Excluded,3,F,@rosiemccorley
Belfast West,17,64,Frank,MCCOUBREY,0,20,Democratic Unionist Party,3766,Excluded,8,M,@FMcCoubrey1
Belfast West,17,65,Ellen,MURRAY,0,111,Green Party,327,Excluded,2,F,@ellenfromnowon
Belfast West,17,66,Pat,SHEEHAN,1,24,Sinn Fein,3516,Elected,4,M,@PatSheehanMLA
East Antrim,1,67,Roy,BEGGS,1,26,Ulster Unionist Party,3848,Elected,8,M,@roybeggs
East Antrim,1,68,Stewart Clyde,DICKSON,1,19,Alliance Party,3115,Elected,10,M,@stewartcdickson
East Antrim,1,69,Danny,DONNELLY,0,19,Alliance Party,1632,Excluded,9,M,@DannyDonnelly1
East Antrim,1,70,David,HILDITCH,1,20,Democratic Unionist Party,5906,Elected,1,M,@dwh_crfc
East Antrim,1,71,Noel,JORDAN,0,689,UK Independence Party,2207,Excluded,12,M,
East Antrim,1,72,Gordon,LYONS,1,20,Democratic Unionist Party,3472,Elected,8,M,@gordonlyons1
East Antrim,1,73,Jim,MCCAW,0,994,Progressive Unionist Party,455,Excluded,2,M,
East Antrim,1,74,Margaret Anne,MCKILLOP,0,23,Social Democratic and Labour Party,1229,Excluded,6,F,@a_margaretanne
East Antrim,1,75,Oliver,MCMULLAN,1,24,Sinn Fein,2633,Elected,12,M,@OliverMcMullan
East Antrim,1,76,Maureen,MORROW,0,26,Ulster Unionist Party,719,Excluded,4,F,@maureen45morrow
East Antrim,1,77,Dawn,PATTERSON,0,111,Green Party,693,Excluded,5,F,@DawnPEastAntri1
East Antrim,1,78,Alastair,ROSS,1,20,Democratic Unionist Party,2323,Elected,12,M,@alastairianross
East Antrim,1,79,Conor John,SHERIDAN,0,997,Cross-Community Labour Alternative,551,Excluded,3,M,@conorjsheridan1
East Antrim,1,80,John Robert,STEWART,0,26,Ulster Unionist Party,1985,Excluded,11,M,@JohnStewart1983
East Antrim,1,81,Ruth,WILSON,0,141,Traditional Unionist Voice,1643,Excluded,7,F,@RuthWilsonTUV
East Londonderry,3,82,Caoimhe,ARCHIBALD,0,24,Sinn Fein,4002,Elected,9,F,@CArchibald_SF
East Londonderry,3,83,Jordan,ARMSTRONG,0,141,Traditional Unionist Voice,1191,Excluded,3,M,@_StrongJ
East Londonderry,3,84,Yvonne,BOYLE,0,19,Alliance Party,1257,Excluded,6,F,@YIMBoyle
East Londonderry,3,85,Maurice,BRADLEY,0,20,Democratic Unionist Party,4630,Elected,4,M,
East Londonderry,3,86,Aaron,CALLAN,0,26,Ulster Unionist Party,1067,Excluded,2,M,@acallan87
East Londonderry,3,87,Stuart,CANNING,0,991,NI Conservatives,50,Excluded,1,M,@StuartC93
East Londonderry,3,88,Tor,CHRISTIE,0,21,Independent,61,Excluded,1,F,
East Londonderry,3,89,Amber,HAMMILL,0,111,Green Party,434,Excluded,1,F,
East Londonderry,3,90,David,HARDING,0,991,NI Conservatives,216,Excluded,1,M,
East Londonderry,3,91,William,MCCANDLESS,0,26,Ulster Unionist Party,1789,Excluded,8,M,@wmccandlessUUP
East Londonderry,3,92,Adrian,MCQUILLAN,1,20,Democratic Unionist Party,3477,Elected,9,M,
East Londonderry,3,93,Gerry,MULLAN,0,23,Social Democratic and Labour Party,3265,Elected,9,M,@aidenville
East Londonderry,3,94,Cathal,O HOISIN,1,24,Sinn Fein,3493,Excluded,9,M,@CathalOhOisin
East Londonderry,3,95,Steven,PARKHILL,0,689,UK Independence Party,274,Excluded,1,M,@ParkhillUKIP
East Londonderry,3,96,George,ROBINSON,1,20,Democratic Unionist Party,4567,Elected,4,M,
East Londonderry,3,97,Claire,SUGDEN,1,21,Independent,3270,Elected,9,F,@ClaireSugden
East Londonderry,3,98,Russell,WATTON,0,994,Progressive Unionist Party,1356,Excluded,7,M,
Fermanagh and South Tyrone,4,99,Rosemary,BARTON,0,26,Ulster Unionist Party,3018,Elected,6,F,@RosemaryBarton1
Fermanagh and South Tyrone,4,100,Kerri,BLYBERG,0,19,Alliance Party,539,Excluded,3,F,
Fermanagh and South Tyrone,4,101,Donald,CRAWFORD,0,141,Traditional Unionist Voice,1164,Excluded,3,M,
Fermanagh and South Tyrone,4,102,John,FEELY,0,24,Sinn Fein,4002,Excluded,7,M,
Fermanagh and South Tyrone,4,103,Phil,FLANAGAN,1,24,Sinn Fein,3449,Excluded,4,M,@PhilFlanagan
Fermanagh and South Tyrone,4,104,Arlene,FOSTER,1,20,Democratic Unionist Party,8801,Elected,1,F,@DUPleader
Fermanagh and South Tyrone,4,105,Michelle,GILDERNEW,0,24,Sinn Fein,6614,Elected,4,F,@gildernewm
Fermanagh and South Tyrone,4,106,Damien,HARRIS,0,989,NI Labour Representation Committee,285,Excluded,3,M,@DHarrisLPNI
Fermanagh and South Tyrone,4,107,Tanya,JONES,0,111,Green Party,897,Excluded,3,F,@decombustion
Fermanagh and South Tyrone,4,108,Sean,LYNCH,1,24,Sinn Fein,4782,Elected,7,M,@seanlynch122
Fermanagh and South Tyrone,4,109,Richie,MCPHILLIPS,0,23,Social Democratic and Labour Party,4014,Elected,7,F,
Fermanagh and South Tyrone,4,110,Maurice,MORROW,1,20,Democratic Unionist Party,6602,Elected,2,M,
Fermanagh and South Tyrone,4,111,Alastair,PATTERSON,1,26,Ulster Unionist Party,3010,Excluded,5,M,@apatterson_UUP
Foyle,5,112,Kathleen,BRADLEY,0,21,Independent,902,Excluded,2,F,
Foyle,5,113,Maurice,DEVENNEY,0,21,Independent,1173,Excluded,3,M,
Foyle,5,114,Gerard,DIVER,1,23,Social Democratic and Labour Party,2700,Excluded,6,M,@GerardDiver1
Foyle,5,115,Alan,DUNLOP,0,991,NI Conservatives,26,Excluded,1,M,@Alan4SAntrim
Foyle,5,116,Mark H,DURKAN,1,23,Social Democratic and Labour Party,4197,Elected,7,M,@MarkHDurkan
Foyle,5,117,Colum,EASTWOOD,1,23,Social Democratic and Labour Party,5000,Elected,7,M,@columeastwood
Foyle,5,118,Mary,HASSAN,0,111,Green Party,157,Excluded,1,F,@maryhassan101
Foyle,5,119,Julia,KEE,0,26,Ulster Unionist Party,1420,Excluded,3,F,@JuliaEKee
Foyle,5,120,John,LINDSAY,0,993,Cannabis Is Safer Than Alcohol,259,Excluded,1,M,
Foyle,5,121,Eamonn,MCCANN,0,999,People Before Profit Alliance,4176,Elected,8,M,@eamonderry
Foyle,5,122,Raymond,MCCARTNEY,1,24,Sinn Fein,3198,Elected,6,M,@RaymondMcCartn1
Foyle,5,123,Chris,MCCAW,0,19,Alliance Party,238,Excluded,1,M,@chrismccaw_ni
Foyle,5,124,Anne,MCCLOSKEY,0,21,Independent,3410,Excluded,8,F,
Foyle,5,125,Martin,MCGUINNESS,1,24,Sinn Fein,5037,Elected,7,M,@M_McGuinness_SF
Foyle,5,126,Maeve,MCLAUGHLIN,1,24,Sinn Fein,3062,Excluded,5,F,@MaeveMcLaughli1
Foyle,5,127,Gary,MIDDLETON,1,20,Democratic Unionist Party,4737,Elected,4,M,@Gary_Middleton
Lagan Valley,6,128,Dan,BARRIOS-ONEILL,0,111,Green Party,1118,Excluded,5,M,
Lagan Valley,6,129,Robbie,BUTLER,0,26,Ulster Unionist Party,4376,Elected,8,M,@T3robbie
Lagan Valley,6,130,Pat,CATNEY,0,23,Social Democratic and Labour Party,2899,Excluded,6,M,@PatCatney
Lagan Valley,6,131,Jonathan,CRAIG,1,20,Democratic Unionist Party,4087,Excluded,8,M,
Lagan Valley,6,132,Peter,DYNES,0,989,NI Labour Representation Committee,171,Excluded,1,M,@peterdynesLPNI
Lagan Valley,6,133,Paul,GIVAN,1,20,Democratic Unionist Party,5364,Elected,6,M,@paulgivan
Lagan Valley,6,134,Brenda,HALE,1,20,Democratic Unionist Party,4236,Elected,8,F,@BrendaHaleMLA
Lagan Valley,6,135,Brian,HIGGINSON,0,689,UK Independence Party,768,Excluded,2,M,
Lagan Valley,6,136,Jack,IRWIN,0,991,NI Conservatives,341,Excluded,1,M,
Lagan Valley,6,137,Trevor,LUNN,1,19,Alliance Party,3707,Elected,7,M,@TrevorLunnLV
Lagan Valley,6,138,Frazer,MCCAMMOND,0,986,Democracy First,124,Excluded,1,M,@beingfrazer
Lagan Valley,6,139,Jacqui,MCGEOUGH,0,24,Sinn Fein,1045,Excluded,4,F,@JacquiMcgeough
Lagan Valley,6,140,Jonny,ORR,0,21,Independent,817,Excluded,3,M,@JonnyOrr
Lagan Valley,6,141,Jenny,PALMER,0,26,Ulster Unionist Party,3871,Elected,8,F,@cllr_j
Lagan Valley,6,142,Edwin,POOTS,1,20,Democratic Unionist Party,4638,Elected,8,M,@poots_edwin
Lagan Valley,6,143,Lyle,REA,0,141,Traditional Unionist Voice,1291,Excluded,5,M,
Mid Ulster,7,144,Keith Alexandra,BUCHANAN,0,20,Democratic Unionist Party,3628,Elected,10,M,@Buchanan_dup
Mid Ulster,7,145,Alan,DAY,0,689,UK Independence Party,256,Excluded,3,M,@Kilsally
Mid Ulster,7,146,Linda,DILLON,0,24,Sinn Fein,5853,Elected,1,F,@LindaDillon81
Mid Ulster,7,147,Neidin,HENDRON,0,19,Alliance Party,471,Excluded,6,F,@Neidin_H
Mid Ulster,7,148,Hannah,LOUGHRIN,0,141,Traditional Unionist Voice,1877,Excluded,8,F,
Mid Ulster,7,149,Ian,MCCREA,1,20,Democratic Unionist Party,3765,Excluded,10,M,@ianmccreaDUP
Mid Ulster,7,150,Patsy,MCGLONE,1,23,Social Democratic and Labour Party,6209,Elected,1,M,@patsymcglone
Mid Ulster,7,151,Ian,MILNE,1,24,Sinn Fein,7035,Elected,1,M,@Ianmilnesf
Mid Ulster,7,152,Michelle,ONEILL,1,24,Sinn Fein,6147,Elected,1,F,@DBarriosONeill
Mid Ulster,7,153,Sandra,OVEREND,1,26,Ulster Unionist Party,4862,Elected,9,F,@over2sandra
Mid Ulster,7,154,Hugh,SCULLION,0,998,Workers Party,316,Excluded,7,M,
Mid Ulster,7,155,Stefan,TAYLOR,0,111,Green Party,349,Excluded,5,M,
Newry and Armagh,8,156,Paul,BERRY ,0,21,Independent,1663,Excluded,6,M,
Newry and Armagh,8,157,Cathal Damian,BOYLAN,1,24,Sinn Fein,6822,Elected,1,M,@cathalboylansf
Newry and Armagh,8,158,Emmet,CROSSAN,0,993,Cannabis Is Safer Than Alcohol,1032,Excluded,5,M,@emmetcrossan72
Newry and Armagh,8,159,Megan,FEARON,1,24,Sinn Fein,6838,Elected,1,F,@mfearonsf
Newry and Armagh,8,160,William George,IRWIN,1,20,Democratic Unionist Party,7980,Elected,1,M,
