Candidate_Id,MemberName,MemberFrom,MemberTo,MemberLastName,MemberFirstName,MemberFullDisplayName,MemberTitle,MemberSortName,MemberNormalName
266,"Hussey, Ross",2011-05-05,2016-03-30,Hussey,Ross,Mr R Hussey,MLA - West Tyrone,HusseyRoss,Ross Hussey
136,"Irwin, William",2011-05-05,2016-03-30,Irwin,William,Mr W Irwin,MLA - Newry and Armagh,IrwinWilliam,William Irwin
249,"Kelly, Dolores",2011-05-05,2016-03-30,Kelly,Dolores,Mrs D Kelly,MLA - Upper Bann,KellyDolores,Dolores Kelly
28,"Kelly, Gerry",2011-05-05,2016-03-30,Kelly,Gerry,Mr G Kelly,MLA - North Belfast,KellyGerry,Gerry Kelly
161,"Kennedy, Danny",2011-05-05,2016-03-30,Kennedy,Danny,Mr D Kennedy,MLA - Newry and Armagh,KennedyDanny,Danny Kennedy
NA,"Lo, Anna MBE",2011-05-05,2016-03-30,Lo,Anna,Ms A Lo,MLA - South Belfast,LoAnnaMBE,Anna Lo
137,"Lunn, Trevor",2011-05-05,2016-03-30,Lunn,Trevor,Mr T Lunn,MLA - Lagan Valley,LunnTrevor,Trevor Lunn
108,"Lynch, Seán",2011-05-05,2016-03-30,Lynch,Seán,Mr S Lynch,MLA - Fermanagh and South Tyrone,LynchSean,Seán Lynch
72,"Lyons, Gordon",2015-08-19,2016-03-30,Lyons,Gordon,Mr G Lyons,MLA - East Antrim,LyonsGordon,Gordon Lyons
12,"Lyttle, Chris",2011-05-05,2016-03-30,Lyttle,Chris,Mr C Lyttle,MLA - East Belfast,LyttleChris,Chris Lyttle
NA,"Maginness, Alban",2011-05-05,2016-03-30,Maginness,Alban,Mr A Maginness,MLA - North Belfast,MaginnessAlban,Alban Maginness
60,"Maskey, Alex",2014-11-04,2016-03-30,Maskey,Alex,Mr A Maskey,MLA - West Belfast,MaskeyAlex,Alex Maskey
269,"McAleer, Declan",2012-07-02,2016-03-30,McAleer,Declan,Mr D McAleer,MLA - West Tyrone,MacAleerDeclan,Declan McAleer
220,"McCallister, John",2011-05-05,2016-03-30,McCallister,John,Mr J McCallister,MLA - South Down,MacCallisterJohn,John McCallister
61,"McCann, Fra",2011-05-05,2016-03-30,McCann,Fra,Mr F McCann,MLA - West Belfast,MacCannFra,Fra McCann
62,"McCann, Jennifer",2011-05-05,2016-03-30,McCann,Jennifer,Ms J McCann,MLA - West Belfast,MacCannJennifer,Jennifer McCann
NA,"McCarthy, Kieran",2011-05-05,2016-03-30,McCarthy,Kieran,Mr K McCarthy,MLA - Strangford,MacCarthyKieran,Kieran McCarthy
122,"McCartney, Raymond",2011-05-05,2016-03-30,McCartney,Raymond,Mr R McCartney,MLA - Foyle,MacCartneyRaymond,Raymond McCartney
31,"McCausland, Nelson",2011-05-05,2016-03-30,McCausland,Nelson,Mr N McCausland,MLA - North Belfast,MacCauslandNelson,Nelson McCausland
63,"McCorley, Rosaleen",2012-07-02,2016-03-30,McCorley,Rosaleen,Ms R McCorley,MLA - West Belfast,MacCorleyRosaleen,Rosaleen McCorley
149,"McCrea, Basil",2011-05-05,2016-03-30,McCrea,Basil,Mr B McCrea,MLA - Lagan Valley,MacCreaBasil,Basil McCrea
149,"McCrea, Ian",2011-05-05,2016-03-30,McCrea,Ian,Mr I McCrea,MLA - Mid Ulster,MacCreaIan,Ian McCrea
273,"McCrossan, Daniel",2016-01-07,2016-03-30,McCrossan,Daniel,Mr D McCrossan,MLA - West Tyrone,MacCrossanDaniel,Daniel McCrossan
275,"McElduff, Barry",2011-05-05,2016-03-30,McElduff,Barry,Mr B McElduff,MLA - West Tyrone,MacElduffBarry,Barry McElduff
NA,"McGahan, Bronwyn",2012-07-02,2016-03-30,McGahan,Bronwyn,Ms B McGahan,MLA - Fermanagh and South Tyrone,MacGahanBronwyn,Bronwyn McGahan
NA,"McGimpsey, Michael",2011-05-05,2016-03-30,McGimpsey,Michael,Mr M McGimpsey,MLA - South Belfast,MacGimpseyMichael,Michael McGimpsey
150,"McGlone, Patsy",2011-05-05,2016-03-30,McGlone,Patsy,Mr P McGlone,MLA - Mid Ulster,MacGlonePatsy,Patsy McGlone
125,"McGuinness, Martin",2011-05-05,2016-03-30,McGuinness,Martin,Mr M McGuinness,MLA - Mid Ulster,MacGuinnessMartin,Martin McGuinness
179,"McIlveen, David",2011-05-05,2016-03-30,McIlveen,David,Mr D McIlveen,MLA - North Antrim,MacIlveenDavid,David McIlveen
237,"McIlveen, Michelle",2011-05-05,2016-03-30,McIlveen,Michelle,Miss M McIlveen,MLA - Strangford,MacIlveenMichelle,Michelle McIlveen
180,"McKay, Daithí",2011-05-05,2016-03-30,McKay,Daithí,Mr D McKay,MLA - North Antrim,MacKayDaithí,Daithí McKay
164,"McKevitt, Karen",2011-05-05,2016-03-30,McKevitt,Karen,Mrs K McKevitt,MLA - South Down,MacKevittKaren,Karen McKevitt
48,"McKinney, Fearghal",2013-09-16,2016-03-30,McKinney,Fearghal,Mr F McKinney,MLA - South Belfast,MacKinneyFearghal,Fearghal McKinney
126,"McLaughlin, Maeve",2012-06-18,2016-03-30,McLaughlin,Maeve,Ms M McLaughlin,MLA - Foyle,MacLaughlinMaeve,Maeve McLaughlin
NA,"McLaughlin, Mitchel",2011-05-05,2016-03-30,McLaughlin,Mitchel,Mr M McLaughlin,MLA - South Antrim,MacLaughlinMitchel,Mitchel McLaughlin
75,"McMullan, Oliver",2011-05-05,2016-03-30,McMullan,Oliver,Mr O McMullan,MLA - East Antrim,MacMullanOliver,Oliver McMullan
NA,"McNarry, David",2011-05-05,2016-03-30,McNarry,David,Mr D McNarry,MLA - Strangford,MacNarryDavid,David McNarry
92,"McQuillan, Adrian",2011-05-05,2016-03-30,McQuillan,Adrian,Mr A McQuillan,MLA - East Londonderry,MacQuillanAdrian,Adrian McQuillan
127,"Middleton, Gary",2015-04-13,2016-03-30,Middleton,Gary,Mr G Middleton,MLA - Foyle,MiddletonGary,Gary Middleton
151,"Milne, Ian",2013-04-08,2016-03-30,Milne,Ian,Mr I Milne,MLA - Mid Ulster,MilneIan,Ian Milne
110,"Morrow of Clogher Valley, Lord",2011-05-05,2016-03-30,Morrow of Clogher Valley,Maurice,Lord Morrow,MLA - Fermanagh and South Tyrone,Morrow of Clogher ValleyMaurice,Lord Morrow
NA,"Moutray, Stephen",2011-05-05,2016-03-30,Moutray,Stephen,Mr S Moutray,MLA - Upper Bann,MoutrayStephen,Stephen Moutray
166,"Murphy, Conor",2015-06-08,2016-03-30,Murphy,Conor,Mr C Murphy,MLA - Newry and Armagh,MurphyConor,Conor Murphy
240,"Nesbitt, Mike",2011-05-05,2016-03-30,Nesbitt,Mike,Mr M Nesbitt,MLA - Strangford,NesbittMike,Mike Nesbitt
15,"Newton, Robin",2011-05-05,2016-03-30,Newton,Robin,Mr R Newton,MLA - East Belfast,NewtonRobin,Robin Newton
33,"Ní Chuilín, Carál",2011-05-05,2016-03-30,Ní Chuilín,Carál,Ms C Ní Chuilín,MLA - North Belfast,Ní ChuilínCarál,Carál Ní Chuilín
94,"Ó hOisín, Cathal",2011-05-05,2016-03-30,Ó hOisín,Cathal,Mr C Ó hOisín,MLA - East Londonderry,Ó hOisínCathal,Cathal Ó hOisín
50,"Ó Muilleoir, Máirtín",2014-11-04,2016-03-30,Ó Muilleoir,Máirtín,Mr M Ó Muilleoir,MLA - South Belfast,Ó MuilleoirMáirtín,Máirtín Ó Muilleoir
256,"O'Dowd, John",2011-05-05,2016-03-30,O'Dowd,John,Mr J O'Dowd,MLA - Upper Bann,O'DowdJohn,John O'Dowd
152,"O'Neill, Michelle",2011-05-05,2016-03-30,O'Neill,Michelle,Mrs M O'Neill,MLA - Mid Ulster,O'NeillMichelle,Michelle O'Neill
153,"Overend, Sandra",2011-05-05,2016-03-30,Overend,Sandra,Mrs S Overend,MLA - Mid Ulster,OverendSandra,Sandra Overend
111,"Patterson, Alastair",2016-01-27,2016-03-30,Patterson,Alastair,Mr A Patterson,MLA - Fermanagh and South Tyrone,PattersonAlastair,Alastair Patterson
45,"Pengelly, Emma",2015-09-28,2016-03-30,Pengelly,Emma,Mrs E Pengelly,MLA - South Belfast,PengellyEmma,Emma Pengelly
142,"Poots, Edwin",2011-05-05,2016-03-30,Poots,Edwin,Mr E Poots,MLA - Lagan Valley,PootsEdwin,Edwin Poots
