Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
East Londonderry,3,73,Caoimhe,ARCHIBALD,0,24,Sinn Fein,,east-londonderry,F
East Londonderry,3,74,Jordan,ARMSTRONG,0,141,Traditional Unionist Voice,,east-londonderry,M
East Londonderry,3,75,Yvonne,BOYLE,0,19,Alliance Party,,east-londonderry,F
East Londonderry,3,76,Maurice,BRADLEY,0,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,77,Aaron,CALLAN,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,78,Stuart,CANNING,0,991,NI Conservatives,,east-londonderry,M
East Londonderry,3,79,Amber,HAMMILL,0,111,Green Party,,east-londonderry,F
East Londonderry,3,80,William,MCCANDLESS,0,26,Ulster Unionist Party,,east-londonderry,M
East Londonderry,3,81,Adrian,MCQUILLAN,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,82,Gerry,MULLAN,0,23,Social Democratic and Labour Party,,east-londonderry,M
East Londonderry,3,83,Cathal,O HOISIN,1,24,Sinn Fein,,east-londonderry,M
East Londonderry,3,84,Steven,PARKHILL,0,689,UK Independence Party,,east-londonderry,M
East Londonderry,3,85,George,ROBINSON,1,20,Democratic Unionist Party,,east-londonderry,M
East Londonderry,3,86,Claire,SUGDEN,1,21,Independent,,east-londonderry,F
East Londonderry,3,87,Russell,WATTON,0,994,Progressive Unionist Party,,east-londonderry,M
Fermanagh and South Tyrone,4,88,Rosemary,BARTON,0,26,Ulster Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,89,Kerri,BLYBERG,0,19,Alliance Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,90,Donald,CRAWFORD,0,141,Traditional Unionist Voice,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,91,John,FEELEY,0,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,92,Phil,FLANAGAN,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,93,Arlene,FOSTER,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,94,Michelle,GILDERNEW,0,24,Sinn Fein,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,95,Tanya,JONES,0,111,Green Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,96,Sean,LYNCH,1,24,Sinn Fein,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,97,Richie,MCPHILLIPS,0,23,Social Democratic and Labour Party,,fermanagh-south-tyrone,F
Fermanagh and South Tyrone,4,98,Maurice,MORROW,1,20,Democratic Unionist Party,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,99,Alastair,PATTERSON,1,26,Ulster Unionist Party,,fermanagh-south-tyrone,M
Fermanagh and South Tyrone,4,100,Damien,HARRIS,0,21,Independent,,fermanagh-south-tyrone,M
Foyle,5,101,Maurice,DEVENNEY,0,21,Independent,,foyle,M
Foyle,5,102,Gerard,DIVER,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,103,Mark H,DURKAN,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,104,Colum,EASTWOOD,1,23,Social Democratic and Labour Party,,foyle,M
Foyle,5,105,Mary,HASSAN,0,111,Green Party,,foyle,F
Foyle,5,106,Julia,KEE,0,26,Ulster Unionist Party,,foyle,F
Foyle,5,107,John,LINDSAY,0,993,Cannabis Is Safer Than Alcohol,,foyle,M
Foyle,5,108,Eamonn,MCCANN,0,999,People Before Profit Alliance,,foyle,M
Foyle,5,109,Raymond,MCCARTNEY,1,24,Sinn Fein,,foyle,M
Foyle,5,110,Chris,MCCAW,0,19,Alliance Party,,foyle,M
Foyle,5,111,Ann,MCCLOSKEY,0,21,Independent,,foyle,F
Foyle,5,112,Martin,MCGUINNESS,1,24,Sinn Fein,,foyle,M
Foyle,5,113,Maeve,MCLOUGHLIN,1,24,Sinn Fein,,foyle,F
Foyle,5,114,Gary,MIDDLETON,1,20,Democratic Unionist Party,,foyle,M
Lagan Valley,6,115,Daniel,BARRIOS-ONEIL,0,111,Green Party,,lagan-valley,M
Lagan Valley,6,116,Robbie,BUTLER,0,26,Ulster Unionist Party,,lagan-valley,M
Lagan Valley,6,117,Pat,CATNEY,0,23,Social Democratic and Labour Party,,lagan-valley,M
Lagan Valley,6,118,Jonathan,CRAIG,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,119,Paul,GIVAN,1,20,Democratic Unionist Party,,lagan-valley,M
Lagan Valley,6,120,Brenda,HALE,1,20,Democratic Unionist Party,,lagan-valley,F
Lagan Valley,6,121,Brian,HIGGINSON,0,689,UK Independence Party,,lagan-valley,M
