text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @thegaysay: <U+26AB><U+FE0F> #DontVoteDUP they have weaponised an equality veto to oppress! #AE16 Please sign here: https://t.co/4G6B7F93Hj https://t.?,FALSE,0,NA,05/05/16 09:23,FALSE,NA,728153210402177000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",W_Runnymede,18,TRUE,FALSE,NA,NA
RT @dawnpurvis: You get what you vote for and if you don't vote then you get what other people vote for. Use your vote today and be a chang?,FALSE,0,NA,05/05/16 09:23,FALSE,NA,728153121700991000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LIAMJMACKLE,49,TRUE,FALSE,NA,NA
RT @thegaysay: <U+26AB><U+FE0F> #DontVoteDUP they have weaponised an equality veto to oppress! #AE16 Please sign here: https://t.co/4G6B7F93Hj https://t.?,FALSE,0,NA,05/05/16 09:23,FALSE,NA,728153114356785000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",yesequality2016,18,TRUE,FALSE,NA,NA
"RT @connal99: If you're still thinking about it in South Belfast, it's time to go Green! #AE16 ?
 https://t.co/fbCeeuifSF",FALSE,0,NA,05/05/16 09:23,FALSE,NA,728153097369846000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ellenfromnowon,1,TRUE,FALSE,NA,NA
"If you vote without tweeting about it, did it even happen? #ae16 #justvoted #eastantrim",FALSE,4,NA,05/05/16 09:23,FALSE,NA,728153034971210000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ornayoung,1,FALSE,FALSE,NA,NA
RT @ussf79: Good luck to all PUP candidates today. #progressive #ae16 @_hutchinsonb @jimmccaw2 @SophieLong01 @shanksybraniel @cllrjohnkyle?,FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152980956963000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ConnieMcB88,19,TRUE,FALSE,NA,NA
RT @felicityhuston: #ae16 Please go out and vote. 100 years ago women were dying here to get the vote. It still matters. Ask anyone living?,FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152935301972000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nowayjomo,12,TRUE,FALSE,NA,NA
Voting east Belfast #ae16 #PollingDay https://t.co/p8MevYVl79,FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152897427407000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mmchugh02,0,FALSE,FALSE,NA,NA
RT @Niall_TheDetail: Interested in the NI Assembly Elections as they happen @electionsni is a must with live and open data for #ae16 https:?,FALSE,0,NA,05/05/16 09:22,FALSE,NA,728152837436285000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kath_TheDetail,8,TRUE,FALSE,NA,NA
"My article in today's News Letter: If you don't vote, then other people will decide who governs you
https://t.co/8nIPv1vh8z #ae16",FALSE,21,NA,05/05/16 09:22,FALSE,NA,728152825297953000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SJAMcBride,40,FALSE,FALSE,NA,NA
