Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
6614,Elected,2,BOYLAN,Cathal,8,Sinn Fein,150
7123,Elected,1,BRADLEY,Dominic,8,Social Democratic and Labour Party,151
3254,Elected,6,BRADY,Mickey,8,Sinn Fein,152
6101,Elected,3,IRWIN,William George,8,Democratic Unionist Party,154
8718,Elected,1,KENNEDY,Danny,8,Ulster Unionist Party,155
9127,Elected,1,MURPHY,Conor,8,Sinn Fein,157
