Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
4607,Elected,1,CLARKE,Trevor,12,Democratic Unionist Party,83
4554,Elected,2,FORD,David RJ,12,Alliance Party,85
4844,Elected,1,GIRVAN,Paul,12,Democratic Unionist Party,86
3445,Elected,3,KINAHAN,Danny,12,Ulster Unionist Party,87
2866,Elected,4,LEWIS,Pam,12,Democratic Unionist Party,88
4662,Elected,1,MCLAUGHLIN,Mitchel,12,Sinn Fein,90
