Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
5854,Elected,5,ANDERSON,Sydney Alexander,16,Democratic Unionist Party,207
3348,Elected,7,DOBSON,Joanne Elizabeth,16,Ulster Unionist Party,208
3676,Elected,7,GARDINER,Samuel,16,Ulster Unionist Party,209
4846,Elected,7,KELLY,Dolores,16,Social Democratic and Labour Party,211
5645,Elected,5,MOUTRAY,Stephen,16,Democratic Unionist Party,215
6649,Elected,1,O'DOWD,John,16,Sinn Fein,216
