Constituency_Number,Count_Number,Non_Transferable
2,1,0.00
2,2,50.08
2,3,2.22
2,4,14.55
2,5,37.44
2,6,64.22
2,7,613.08
2,8,616.67
2,9,682.73
2,10,378.87
2,11,4.64
