Constituency_Number,Candidate_Id,Count_Number,Firstname,Surname,Candidate_First_Pref_Votes,Transfers,Total_Votes,Status,Occurred_On_Count,Party_Name
11,185,1,Steven,AGNEW,4109,0,4109,,,Green Party
11,186,1,John,BRENNAN,610,0,610,,,Traditional Unionist Voice
11,187,1,Conal,BROWNE,426,0,426,,,Social Democratic and Labour Party
11,188,1,Alan,CHAMBERS,3275,0,3275,,,Ulster Unionist Party
11,189,1,Gordon Mervyn,DUNNE,4004,0,4004,,,Democratic Unionist Party
11,190,1,Alex,EASTON,6357,0,6357,Elected,1,Democratic Unionist Party
11,191,1,Chris,EISENSTADT,217,0,217,,,Ulster Unionist Party
11,192,1,Stephen,FARRY,3012,0,3012,,,Alliance Party
11,193,1,Maria,LOURENCO,177,0,177,,,NI Labour Representation Committee
11,194,1,Therese,MCCARTNEY,307,0,307,,,Sinn Fein
11,195,1,Carl,MCCLEAN,1495,0,1495,,,Ulster Unionist Party
11,196,1,Andrew,MUIR,2387,0,2387,,,Alliance Party
11,197,1,Bill,PIPER,681,0,681,,,UK Independence Party
11,198,1,Frank,SHIVERS,672,0,672,,,NI Conservatives
11,199,1,Peter James,WEIR,3085,0,3085,,,Democratic Unionist Party
11,200,1,Brian,WILSON,1415,0,1415,,,Independent
11,185,2,Steven,AGNEW,4109,33.32,4142.32,,,Green Party
11,186,2,John,BRENNAN,610,31.92,641.92,,,Traditional Unionist Voice
11,187,2,Conal,BROWNE,426,2.24,428.24,,,Social Democratic and Labour Party
11,188,2,Alan,CHAMBERS,3275,104.16,3379.16,,,Ulster Unionist Party
11,189,2,Gordon Mervyn,DUNNE,4004,606.48,4610.48,Elected,2,Democratic Unionist Party
11,190,2,Alex,EASTON,6357,-1752,4605,Elected,1,Democratic Unionist Party
11,191,2,Chris,EISENSTADT,217,17.92,234.92,,,Ulster Unionist Party
11,192,2,Stephen,FARRY,3012,24.92,3036.92,,,Alliance Party
11,193,2,Maria,LOURENCO,177,3.08,180.08,Excluded,2,NI Labour Representation Committee
11,194,2,Therese,MCCARTNEY,307,0.56,307.56,,,Sinn Fein
11,195,2,Carl,MCCLEAN,1495,50.68,1545.68,,,Ulster Unionist Party
11,196,2,Andrew,MUIR,2387,8.96,2395.96,,,Alliance Party
11,197,2,Bill,PIPER,681,25.48,706.48,,,UK Independence Party
11,198,2,Frank,SHIVERS,672,11.76,683.76,,,NI Conservatives
11,199,2,Peter James,WEIR,3085,805.28,3890.28,,,Democratic Unionist Party
11,200,2,Brian,WILSON,1415,15.12,1430.12,,,Independent
11,185,3,Steven,AGNEW,4109,87.12,4229.44,,,Green Party
11,186,3,John,BRENNAN,610,0,641.92,,,Traditional Unionist Voice
11,187,3,Conal,BROWNE,426,13,441.24,,,Social Democratic and Labour Party
11,188,3,Alan,CHAMBERS,3275,8,3387.16,,,Ulster Unionist Party
11,189,3,Gordon Mervyn,DUNNE,4004,0,4610.48,Elected,2,Democratic Unionist Party
11,190,3,Alex,EASTON,6357,0,4605,Elected,1,Democratic Unionist Party
11,191,3,Chris,EISENSTADT,217,1,235.92,,,Ulster Unionist Party
11,192,3,Stephen,FARRY,3012,14.28,3051.2,,,Alliance Party
11,193,3,Maria,LOURENCO,177,-180.08,0,Excluded,2,NI Labour Representation Committee
11,194,3,Therese,MCCARTNEY,307,7.28,314.84,,,Sinn Fein
11,195,3,Carl,MCCLEAN,1495,4,1549.68,,,Ulster Unionist Party
11,196,3,Andrew,MUIR,2387,11.28,2407.24,,,Alliance Party
11,197,3,Bill,PIPER,681,0.28,706.76,,,UK Independence Party
11,198,3,Frank,SHIVERS,672,3,686.76,,,NI Conservatives
11,199,3,Peter James,WEIR,3085,2.28,3892.56,,,Democratic Unionist Party
11,200,3,Brian,WILSON,1415,19.28,1449.4,,,Independent
11,185,4,Steven,AGNEW,4109,10.12,4239.56,,,Green Party
11,186,4,John,BRENNAN,610,4.84,646.76,,,Traditional Unionist Voice
11,187,4,Conal,BROWNE,426,0.28,441.52,,,Social Democratic and Labour Party
11,188,4,Alan,CHAMBERS,3275,78.08,3465.24,,,Ulster Unionist Party
11,189,4,Gordon Mervyn,DUNNE,4004,0,4610.48,Elected,2,Democratic Unionist Party
11,190,4,Alex,EASTON,6357,0,4605,Elected,1,Democratic Unionist Party
