Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
3042,Elected,9,BEGGS,Roy,1,Ulster Unionist Party,57
2889,Elected,9,DICKSON,Stewart,1,Alliance Party,58
3288,Elected,2,HILDITCH,David,1,Democratic Unionist Party,60
2369,Elected,10,MCMULLAN,Oliver,1,Sinn Fein,64
1608,Elected,6,ROSS,Alastair,1,Democratic Unionist Party,67
7181,Elected,1,WILSON,Sammy,1,Democratic Unionist Party,69
