Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id
4265,Elected,1,BELL,Jonathan,15,Democratic Unionist Party,197
3456,Elected,5,HAMILTON,Simon,15,Democratic Unionist Party,200
4284,Elected,1,MCCARTHY,Kieran,15,Alliance Party,201
4573,Elected,1,MCILVEEN,Michelle,15,Democratic Unionist Party,202
2773,Elected,6,MCNARRY,David,15,Ulster Unionist Party,203
3273,Elected,6,NESBITT,Mike,15,Ulster Unionist Party,204
