Constituency_Number,Count_Number,Non_Transferable
15,1,0.00
15,2,13.00
15,3,62.00
15,4,78.00
15,5,76.00
15,6,1.75
15,7,2.00
15,8,197.75
15,9,622.50
15,10,1235.25
15,11,2.28
